--- PyTorch Generation (Forward Pass Only) ---
Using TorchNative attention backend for CPU
[PYTORCH][BLOCK] block_after_ln1: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_qkv: shape=(1, 7, 12288), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_v: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_final_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_attn_residual: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln2: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_gate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_up: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_intermediate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MODEL] model_layer_7_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln1: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_qkv: shape=(1, 7, 12288), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_v: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_output: shape=(7, 4096), min=-512.000000, max=512.000000, mean=0.241333, std=159.750000
[PYTORCH][ATTENTION] attn_final_output: shape=(7, 4096), min=-3242.000000, max=2128.000000, mean=0.045135, std=144.375000
[PYTORCH][BLOCK] block_after_attn_residual: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln2: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_gate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_up: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_intermediate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MODEL] model_layer_8_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln1: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_qkv: shape=(1, 7, 12288), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_v: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_final_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_attn_residual: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln2: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_gate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_up: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_intermediate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MODEL] model_layer_9_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln1: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_qkv: shape=(1, 7, 12288), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_v: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_q_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_k_rope: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][ATTENTION] attn_final_output: shape=(7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_attn_residual: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][BLOCK] block_after_ln2: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_input: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_gate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_up: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_intermediate: shape=(1, 7, 11008), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
[PYTORCH][MLP] mlp_output: shape=(1, 7, 4096), min=nan, max=nan, mean=nan, std=nan, HAS_NAN
